WKT,gid,access,addr:housenumber,aeroway,ele,landuse,military,name,operator,ref,surface,width
"POINT (-59.4105556 -31.6922221993833)","1042021682",,,aerodrome,"55",,,Aeródromo El Malagueño,,,,
"POINT (-60.5825 -32.0160999994116)","1042020776",,,aerodrome,"75",,,Aeródromo Diamante,,,,
"POINT (-60.9001727 -31.4055081993627)","1042020504",,,aerodrome,"39",,,Aeródromo Anibal Brizi,,EBF,,
"POINT (-61.1431 -31.3924999993618)","1042021713",,,aerodrome,"50",,,Aeródromo Establecimiento La Adelita,,,,
"POINT (-60.8858 -30.9555999993384)","1042021077",,,aerodrome,"44",,,Aeródromo La Pelada,,,,
"POINT (-58.7067 -30.8521999993343)","1042021055",,,aerodrome,"70",,,Aeródromo La Angelita,,,,
"POINT (-58.2928 -30.5388999993248)","1042020816",,,aerodrome,"72",,,Aeródromo Estancia La Choza,,,,
"POINT (-57.6393184 -30.2621986993205)","9525537934",yes,,aerodrome,"52",,,Aeropuerto de Monte Caseros,,18/36,asphalt,"30"
"POINT (-58.0883095 -29.7773928993216)","1042020739",yes,,aerodrome,"80",,,Aeródromo Aeroclub de Curuzú Cuatiá,,07/25,unpaved,"30"
"POINT (-56.541111 -29.0647220993425)","1042020479",,,aerodrome,,,,Aeropuerto de Alvear,,,,
"POINT (-58.8203 -27.5863999994505)","1042021293",,,aerodrome,,,,Aeropuerto de Nueva Valencia,,,,
"POINT (-58.7585797 -27.4491358994643)","9525537954",yes,,aerodrome,"62",,,Aeropuerto Internacional Doctor Fernando Piragine Niveyro,,02/20,asphalt,"50"
"POINT (-59.0390629 -28.5204008993729)","1042058691",yes,,aerodrome,"55",,,Aeroclub Bella Vista,,17/35,asphalt,"30"
"POINT (-59.2202172 -29.1049139993408)","9525537947",yes,,aerodrome,"39",,,Aeropuerto de Goya,,,asphalt,"50"
"POINT (-60.6864 -27.59149999945)","1042059270",,,aerodrome,"75",,,Aeródromo Villa Ángela,,,,
"POINT (-61.2744 -27.3393999994757)","1042020893",,,aerodrome,"91",,,Aeródromo General Pìnedo,,,,
"POINT (-61.6586 -27.4977999994593)","1042020377",,,aerodrome,"115",,,Aeródromo Agroaire,,,,
"POINT (-61.6493939 -27.4806633994611)","1042022118",,,aerodrome,"97",,,Aeródromo Pulverizaciones M.H.,,,,
"POINT (-61.9274901 -29.8741589993205)","1042059206",,,aerodrome,"87",,,Aeródromo Ceres,,,,
"POINT (-65.3371228 -31.1118091993457)","8843497117",,,aerodrome,,,,Aerodromo de Guasapampa,,,,
"POINT (-65.6179733 -27.345434199475)","1042021588",,,aerodrome,"386",,,Aeródromo Concepción,,,grass,
"POINT (-64.9655991 -25.5144004997056)","1042021109",,,aerodrome,"843",,,Aeródromo Metán,,,,
"POINT (-64.9631419 -25.8261537996622)","1042021344",,,aerodrome,"837",,,Aeródromo Rosario De La Frontera,,,,
"POINT (-61.8201486 -23.9136542999377)","9553887018",,,aerodrome,,,,Aeródromo de Ingeniero Juárez,,,,
"POINT (-60.5495104 -24.726124399819)","1042059342",,,aerodrome,,,,Aeropuerto Alférez Armando Rodríguez,,,,
"POINT (-62.7136993 -22.2856998001613)","1042058669",,,aerodrome,"280",,,Aeródromo Santa Victoria,,,,
"POINT (-63.2905579 -22.1186104001821)","1042021816",,,aerodrome,"49",,,Aeródromo Finca La Frontera,,,,
"POINT (-64.6944962 -22.2844895001614)","3268797123",,,aerodrome,,,,,,,,
"POINT (-54.4874741 -26.9531463995185)","1042021445",,,aerodrome,,,,Aeródromo de San Vicente,,VTE,,
"POINT (-55.765653 -27.9027566994209)","1042058673",,,aerodrome,,,,Aeródromo de Apóstoles,,,,
"POINT (-58.7542 -38.1478000006031)","1042021097",,,aerodrome,"80",,,Aeródromo Nika,,,,
"POINT (-58.3442 -37.9156000005531)","1042020416",,,aerodrome,"120",,,Aeródromo Aeroclub Balcarce,,,,
"POINT (-58.0342 -37.7356000005135)","1042020826",,,aerodrome,"120",,,Aeródromo Estancia Los Cardos,,,,
"POINT (-62.0102997 -38.8970985007522)","1042058699",,,aerodrome,,,,Aeropuerto Puerto Rosales,,,,
"POINT (-62.6188199 -40.2083504009491)","1042021449",,,aerodrome,,,,Aeródromo Stroeder,,,,
"POINT (-65.9296023 -47.7198289994676)","1042058651",,,aerodrome,,,,Aeródromo Deseado Oeste - CLOSED,,,,
"POINT (-65.7196558 -44.7788127005723)","3371276909",,,aerodrome,,,,Aeródromo Camarones,,,,
"POINT (-63.6451078 -42.7664068009718)","4452265378",,,aerodrome,,,,Aeródromo Punta Delgada,,,,
